id,eventcode,time,type,meaning,group,checkas,ingroup,unusual,need
186,7,371198,stimulate,high competance face,90,1,1,0,1
187,201,371479,response,high competance key,90,2,2,0,1
188,202,374568,response,low competance key,90,1,2,1,0
189,203,402908,blank,blank space key,0,1,0,0,0
190,203,406844,blank,blank space key,0,1,0,0,0
191,5,412316,stimulate,medium competance face,91,1,1,0,1
192,201,412669,response,high competance key,91,2,2,0,1
193,7,415328,stimulate,high competance face,92,1,1,0,1
194,202,415646,response,low competance key,92,2,2,0,1
195,3,418440,stimulate,low competance face,93,1,1,0,1
196,201,418750,response,high competance key,93,2,2,0,1
197,3,421452,stimulate,low competance face,94,1,1,0,1
198,202,421759,response,low competance key,94,2,2,0,1
199,3,424564,stimulate,low competance face,95,1,1,0,1
200,202,424895,response,low competance key,95,2,2,0,1
201,3,427576,stimulate,low competance face,96,1,1,0,1
202,201,427839,response,high competance key,96,2,2,0,1
203,7,430688,stimulate,high competance face,97,1,1,0,1
204,202,430992,response,low competance key,97,2,2,0,1
205,3,433700,stimulate,low competance face,98,1,1,0,1
206,201,433984,response,high competance key,98,2,2,0,1
207,7,436812,stimulate,high competance face,99,1,1,0,1
208,201,437073,response,high competance key,99,2,2,0,1
209,5,439824,stimulate,medium competance face,100,1,1,0,1
210,201,440161,response,high competance key,100,2,2,0,1
211,5,442936,stimulate,medium competance face,101,1,1,0,1
212,202,443234,response,low competance key,101,2,2,0,1
213,3,445948,stimulate,low competance face,102,1,1,0,1
214,202,446354,response,low competance key,102,2,2,0,1
215,5,449060,stimulate,medium competance face,103,1,1,0,1
216,201,449523,response,high competance key,103,2,2,0,1
217,7,452073,stimulate,high competance face,104,1,1,0,1
218,202,452483,response,low competance key,104,2,2,0,1
219,5,455185,stimulate,medium competance face,105,1,1,0,1
220,201,455475,response,high competance key,105,2,2,0,1
221,7,458198,stimulate,high competance face,106,1,1,0,1
222,202,458468,response,low competance key,106,2,2,0,1
223,5,461307,stimulate,medium competance face,107,1,1,0,1
224,201,461604,response,high competance key,107,2,2,0,1
225,3,464319,stimulate,low competance face,108,1,1,0,1
226,201,464677,response,high competance key,108,2,2,0,1
227,3,467380,stimulate,low competance face,109,1,1,0,1
228,202,467797,response,low competance key,109,2,2,0,1
229,5,470394,stimulate,medium competance face,110,1,1,0,1
230,202,470726,response,low competance key,110,2,2,0,1
231,7,473430,stimulate,high competance face,111,1,1,0,1
232,201,473766,response,high competance key,111,2,2,0,1
233,5,476442,stimulate,medium competance face,112,1,1,0,1
234,202,476727,response,low competance key,112,2,2,0,1
235,3,479466,stimulate,low competance face,113,1,1,0,1
236,202,479751,response,low competance key,113,2,2,0,1
237,3,482478,stimulate,low competance face,114,1,1,0,1
238,202,482792,response,low competance key,114,2,2,0,1
239,3,485496,stimulate,low competance face,115,1,1,0,1
240,201,485848,response,high competance key,115,2,2,0,1
241,5,488508,stimulate,medium competance face,116,1,1,0,1
242,201,488824,response,high competance key,116,2,2,0,1
243,7,491524,stimulate,high competance face,117,1,1,0,1
244,201,491865,response,high competance key,117,2,2,0,1
245,7,494536,stimulate,high competance face,118,1,1,0,1
246,201,494857,response,high competance key,118,2,2,0,1
247,3,497550,stimulate,low competance face,119,1,1,0,1
248,202,497866,response,low competance key,119,2,2,0,1
249,3,500562,stimulate,low competance face,120,1,1,0,1
250,202,500906,response,low competance key,120,2,2,0,1
251,201,503147,response,high competance key,120,1,2,1,0
252,3,503575,stimulate,low competance face,121,1,1,0,1
253,201,504075,response,high competance key,121,2,2,0,1
254,5,506587,stimulate,medium competance face,122,1,1,0,1
255,202,506923,response,low competance key,122,2,2,0,1
256,7,509600,stimulate,high competance face,123,1,1,0,1
257,201,509996,response,high competance key,123,2,2,0,1
258,7,512616,stimulate,high competance face,124,1,1,0,1
259,202,513068,response,low competance key,124,2,2,0,1
260,5,515627,stimulate,medium competance face,125,1,1,0,1
261,202,515932,response,low competance key,125,2,2,0,1
