[Subject]	
[Date]	05/30/2016
[Time]	17:35:24
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	69
[Rejected]	4978
[Domain]	Time
[Rows]	Points																									
[Electrode Labels]																											
[FP2]	        [AF4]	        [F2]	        [F4]	        [F6]	        [F8]	        [FC2]	        [FC4]	        [FC6]	        [FT8]	        [C2]	        [C4]	        [C6]	        [T8]	        [CP2]	        [CP4]	        [CP6]	        [TP8]	        [P2]	        [P4]	        [P6]	        [P8]	        [PO4]	        [PO6]	        [PO8]	        [O2]	        [CB2]	
[Electrode XUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Electrode YUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Average Data]
-0.24760 	-0.14635 	-0.31280 	-0.21020 	-0.01335 	-0.13685 	-0.37160 	-0.22370 	0.02990 	0.00780 	-0.29705 	-0.24010 	0.10415 	-0.64490 	-0.18110 	-0.08680 	0.27050 	-0.04240 	0.13530 	0.20205 	0.70405 	0.62375 	1.22870 	1.43375 	1.10320 	1.19135 	0.76900 
-0.32135 	-0.26810 	-0.45920 	-0.36015 	-0.13300 	-0.16910 	-0.53770 	-0.40390 	-0.04190 	-0.00335 	-0.49270 	-0.43165 	-0.01115 	-0.77080 	-0.40470 	-0.28060 	0.14555 	-0.10210 	-0.07975 	0.01370 	0.57370 	0.54255 	1.05155 	1.28870 	0.98575 	1.07570 	0.67365 
-0.39785 	-0.40165 	-0.60915 	-0.51045 	-0.25495 	-0.20725 	-0.70625 	-0.58380 	-0.11230 	-0.02005 	-0.69060 	-0.61785 	-0.12790 	-0.88055 	-0.63070 	-0.47515 	0.01640 	-0.15775 	-0.29955 	-0.17955 	0.43665 	0.45950 	0.86600 	1.13315 	0.86330 	0.95230 	0.57420 
-0.47350 	-0.54100 	-0.75830 	-0.65705 	-0.37575 	-0.24785 	-0.87310 	-0.75945 	-0.17965 	-0.04200 	-0.88680 	-0.79515 	-0.24340 	-0.97200 	-0.85520 	-0.66730 	-0.11520 	-0.20795 	-0.52030 	-0.37415 	0.29565 	0.37660 	0.67590 	0.96995 	0.73855 	0.82320 	0.47240 
-0.54485 	-0.67945 	-0.90230 	-0.79645 	-0.49280 	-0.28720 	-1.03465 	-0.92720 	-0.24275 	-0.06895 	-1.07740 	-0.96060 	-0.35490 	-1.04425 	-1.07460 	-0.85435 	-0.24735 	-0.25110 	-0.73835 	-0.56680 	0.15330 	0.29510 	0.48465 	0.80205 	0.61400 	0.69025 	0.36970 
-0.60865 	-0.81065 	-1.03745 	-0.92575 	-0.60405 	-0.32220 	-1.18745 	-1.08425 	-0.30125 	-0.10105 	-1.25915 	-1.11190 	-0.46000 	-1.09740 	-1.28590 	-1.03380 	-0.37820 	-0.28550 	-0.95030 	-0.75440 	0.01195 	0.21625 	0.29510 	0.63210 	0.49150 	0.55510 	0.26705 
-0.66245 	-0.92870 	-1.16080 	-1.04300 	-0.70835 	-0.35085 	-1.32890 	-1.22815 	-0.35605 	-0.13870 	-1.42930 	-1.24775 	-0.55690 	-1.13220 	-1.48635 	-1.20395 	-0.50600 	-0.30970 	-1.15355 	-0.93465 	-0.12645 	0.14085 	0.10965 	0.46235 	0.37255 	0.41920 	0.16530 
-0.70445 	-1.02880 	-1.27025 	-1.14690 	-0.80480 	-0.37245 	-1.45675 	-1.35730 	-0.40815 	-0.18225 	-1.58595 	-1.36790 	-0.64455 	-1.14965 	-1.67415 	-1.36350 	-0.62890 	-0.32270 	-1.34605 	-1.10560 	-0.26005 	0.06910 	-0.06990 	0.29480 	0.25820 	0.28385 	0.06505 
-0.73380 	-1.10735 	-1.36415 	-1.23665 	-0.89260 	-0.38715 	-1.56970 	-1.47050 	-0.45865 	-0.23180 	-1.72765 	-1.47240 	-0.72200 	-1.15115 	-1.84770 	-1.51155 	-0.74515 	-0.32455 	-1.52620 	-1.26585 	-0.38745 	0.00110 	-0.24235 	0.13095 	0.14920 	0.15020 	-0.03310 
-0.75030 	-1.16205 	-1.44155 	-1.31190 	-0.97065 	-0.39560 	-1.66645 	-1.56710 	-0.50820 	-0.28655 	-1.85345 	-1.56175 	-0.78885 	-1.13790 	-2.00565 	-1.64735 	-0.85290 	-0.31605 	-1.69280 	-1.41425 	-0.50765 	-0.06320 	-0.40665 	-0.02795 	0.04595 	0.01935 	-0.12835 
-0.75425 	-1.19195 	-1.50190 	-1.37205 	-1.03745 	-0.39825 	-1.74630 	-1.64655 	-0.55670 	-0.34495 	-1.96275 	-1.63660 	-0.84480 	-1.11170 	-2.14700 	-1.77025 	-0.95035 	-0.29940 	-1.84480 	-1.55000 	-0.61940 	-0.12400 	-0.56215 	-0.18065 	-0.05110 	-0.10740 	-0.21925 
-0.74635 	-1.19730 	-1.54495 	-1.41680 	-1.09140 	-0.39580 	-1.80880 	-1.70845 	-0.60355 	-0.40465 	-2.05505 	-1.69750 	-0.88990 	-1.07440 	-2.27070 	-1.87950 	-1.03600 	-0.27795 	-1.98145 	-1.67250 	-0.72195 	-0.18125 	-0.70810 	-0.32610 	-0.14185 	-0.22880 	-0.30450 
-0.72770 	-1.17980 	-1.57090 	-1.44580 	-1.13110 	-0.38860 	-1.85375 	-1.75290 	-0.64770 	-0.46300 	-2.13015 	-1.74485 	-0.92495 	-1.02825 	-2.37610 	-1.97445 	-1.10900 	-0.25610 	-2.10215 	-1.78130 	-0.81485 	-0.23540 	-0.84420 	-0.46345 	-0.22605 	-0.34370 	-0.38245 
-0.69965 	-1.14215 	-1.58030 	-1.45900 	-1.15560 	-0.37740 	-1.88120 	-1.78000 	-0.68790 	-0.51785 	-2.18810 	-1.77900 	-0.95100 	-0.97550 	-2.46255 	-2.05455 	-1.16870 	-0.23890 	-2.20645 	-1.87620 	-0.89770 	-0.28690 	-0.96980 	-0.59195 	-0.30395 	-0.45100 	-0.45170 
-0.66365 	-1.08815 	-1.57385 	-1.45675 	-1.16480 	-0.36300 	-1.89140 	-1.79000 	-0.72305 	-0.56740 	-2.22875 	-1.79985 	-0.96950 	-0.91830 	-2.52965 	-2.11890 	-1.21470 	-0.23170 	-2.29410 	-1.95690 	-0.97065 	-0.33635 	-1.08465 	-0.71110 	-0.37595 	-0.54965 	-0.51115 
-0.62100 	-1.02210 	-1.55255 	-1.43950 	-1.15935 	-0.34600 	-1.88480 	-1.78305 	-0.75190 	-0.61035 	-2.25210 	-1.80705 	-0.98185 	-0.85820 	-2.57690 	-2.16690 	-1.24680 	-0.23885 	-2.36455 	-2.02300 	-1.03350 	-0.38425 	-1.18815 	-0.82040 	-0.44235 	-0.63870 	-0.55980 
-0.57305 	-0.94825 	-1.51720 	-1.40795 	-1.13995 	-0.32680 	-1.86175 	-1.75935 	-0.77315 	-0.64535 	-2.25785 	-1.80000 	-0.98915 	-0.79620 	-2.60375 	-2.19760 	-1.26465 	-0.26315 	-2.41730 	-2.07400 	-1.08640 	-0.43075 	-1.27945 	-0.91935 	-0.50360 	-0.71700 	-0.59675 
-0.52055 	-0.87055 	-1.46860 	-1.36300 	-1.10805 	-0.30545 	-1.82260 	-1.71905 	-0.78560 	-0.67085 	-2.24580 	-1.77830 	-0.99200 	-0.73285 	-2.60985 	-2.21030 	-1.26825 	-0.30535 	-2.45165 	-2.10900 	-1.12915 	-0.47560 	-1.35755 	-1.00730 	-0.55970 	-0.78365 	-0.62130 
-0.46415 	-0.79265 	-1.40770 	-1.30600 	-1.06510 	-0.28160 	-1.76815 	-1.66300 	-0.78880 	-0.68535 	-2.21605 	-1.74200 	-0.99065 	-0.66880 	-2.59515 	-2.20490 	-1.25795 	-0.36460 	-2.46710 	-2.12755 	-1.16180 	-0.51840 	-1.42150 	-1.08380 	-0.61085 	-0.83785 	-0.63315 
-0.40460 	-0.71715 	-1.33570 	-1.23845 	-1.01275 	-0.25510 	-1.69950 	-1.59240 	-0.78275 	-0.68770 	-2.16900 	-1.69210 	-0.98555 	-0.60490 	-2.56025 	-2.18200 	-1.23505 	-0.43835 	-2.46345 	-2.12955 	-1.18470 	-0.55865 	-1.47075 	-1.14885 	-0.65735 	-0.87955 	-0.63270 
