[Subject]	
[Date]	05/30/2016
[Time]	17:35:24
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	114
[Rejected]	4933
[Domain]	Time
[Rows]	Points																									
[Electrode Labels]																											
[FP2]	        [AF4]	        [F2]	        [F4]	        [F6]	        [F8]	        [FC2]	        [FC4]	        [FC6]	        [FT8]	        [C2]	        [C4]	        [C6]	        [T8]	        [CP2]	        [CP4]	        [CP6]	        [TP8]	        [P2]	        [P4]	        [P6]	        [P8]	        [PO4]	        [PO6]	        [PO8]	        [O2]	        [CB2]	
[Electrode XUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Electrode YUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Average Data]
0.11780 	0.49465 	0.65120 	0.37330 	0.15310 	-0.41770 	0.67670 	0.38930 	0.21220 	-0.34835 	0.61420 	0.18510 	-0.09445 	-0.37650 	0.53460 	0.21695 	0.01065 	-0.33165 	0.48500 	0.40025 	0.03695 	-0.29760 	0.31690 	0.16770 	-0.06790 	0.35110 	0.23845 
0.13650 	0.52725 	0.66605 	0.36520 	0.11725 	-0.37515 	0.67945 	0.36600 	0.17275 	-0.31255 	0.60560 	0.16270 	-0.15285 	-0.33525 	0.51665 	0.19715 	0.00125 	-0.28900 	0.46450 	0.37485 	0.03345 	-0.29310 	0.32075 	0.17020 	-0.06350 	0.35610 	0.23240 
0.14940 	0.54000 	0.66880 	0.34640 	0.07140 	-0.32785 	0.67095 	0.33395 	0.12445 	-0.27920 	0.58630 	0.13150 	-0.21435 	-0.28960 	0.48925 	0.16775 	-0.01805 	-0.24330 	0.43430 	0.34025 	0.02215 	-0.29080 	0.31740 	0.16670 	-0.06290 	0.35700 	0.22385 
0.15530 	0.53120 	0.65890 	0.31715 	0.01655 	-0.27840 	0.65090 	0.29395 	0.06800 	-0.25070 	0.55580 	0.09200 	-0.27740 	-0.24215 	0.45170 	0.12845 	-0.04740 	-0.19765 	0.39395 	0.29605 	0.00260 	-0.29140 	0.30630 	0.15685 	-0.06600 	0.35395 	0.21305 
0.15380 	0.50080 	0.63645 	0.27820 	-0.04570 	-0.22995 	0.61965 	0.24725 	0.00400 	-0.22925 	0.51430 	0.04550 	-0.34040 	-0.19575 	0.40380 	0.07960 	-0.08605 	-0.15520 	0.34340 	0.24230 	-0.02510 	-0.29540 	0.28695 	0.14075 	-0.07280 	0.34700 	0.20005 
0.14510 	0.45070 	0.60250 	0.23110 	-0.11335 	-0.18585 	0.57835 	0.19585 	-0.06665 	-0.21655 	0.46250 	-0.00610 	-0.40165 	-0.15345 	0.34625 	0.02235 	-0.13200 	-0.11890 	0.28325 	0.17970 	-0.06025 	-0.30325 	0.25955 	0.11850 	-0.08320 	0.33600 	0.18455 
0.13005 	0.38455 	0.55885 	0.17760 	-0.18385 	-0.14875 	0.52850 	0.14170 	-0.14290 	-0.21340 	0.40205 	-0.06010 	-0.45965 	-0.11800 	0.28010 	-0.04135 	-0.18280 	-0.09140 	0.21460 	0.10940 	-0.10150 	-0.31490 	0.22445 	0.09045 	-0.09715 	0.32095 	0.16625 
0.11005 	0.30710 	0.50765 	0.12000 	-0.25480 	-0.12080 	0.47210 	0.08710 	-0.22330 	-0.22010 	0.33470 	-0.11380 	-0.51315 	-0.09175 	0.20680 	-0.10905 	-0.23565 	-0.07475 	0.13880 	0.03290 	-0.14745 	-0.33015 	0.18230 	0.05725 	-0.11455 	0.30165 	0.14455 
0.08675 	0.22395 	0.45130 	0.06060 	-0.32370 	-0.10280 	0.41100 	0.03375 	-0.30620 	-0.23600 	0.26240 	-0.16455 	-0.56125 	-0.07665 	0.12815 	-0.17850 	-0.28780 	-0.07040 	0.05755 	-0.04820 	-0.19640 	-0.34860 	0.13425 	0.01945 	-0.13520 	0.27810 	0.11910 
0.06180 	0.14065 	0.39200 	0.00110 	-0.38850 	-0.09485 	0.34710 	-0.01700 	-0.38945 	-0.25980 	0.18685 	-0.21025 	-0.60340 	-0.07365 	0.04565 	-0.24740 	-0.33705 	-0.07910 	-0.02755 	-0.13205 	-0.24690 	-0.36940 	0.08140 	-0.02215 	-0.15885 	0.25025 	0.08985 
0.03655 	0.06235 	0.33170 	-0.05680 	-0.44760 	-0.09640 	0.28180 	-0.06430 	-0.47075 	-0.28980 	0.10960 	-0.24965 	-0.63910 	-0.08305 	-0.03925 	-0.31400 	-0.38200 	-0.10080 	-0.11520 	-0.21740 	-0.29765 	-0.39205 	0.02490 	-0.06700 	-0.18520 	0.21825 	0.05670 
0.01195 	-0.00675 	0.27170 	-0.11225 	-0.50005 	-0.10625 	0.21605 	-0.10790 	-0.54750 	-0.32390 	0.03165 	-0.28225 	-0.66770 	-0.10435 	-0.12555 	-0.37725 	-0.42180 	-0.13460 	-0.20430 	-0.30285 	-0.34770 	-0.41560 	-0.03405 	-0.11440 	-0.21375 	0.18245 	0.02000 
-0.01160 	-0.06385 	0.21295 	-0.16460 	-0.54530 	-0.12315 	0.15040 	-0.14780 	-0.61765 	-0.36035 	-0.04640 	-0.30840 	-0.68850 	-0.13620 	-0.21240 	-0.43670 	-0.45620 	-0.17870 	-0.29370 	-0.38750 	-0.39615 	-0.43925 	-0.09430 	-0.16365 	-0.24390 	0.14335 	-0.01985 
-0.03400 	-0.10745 	0.15600 	-0.21355 	-0.58325 	-0.14525 	0.08520 	-0.18455 	-0.67920 	-0.39720 	-0.12390 	-0.32885 	-0.70050 	-0.17650 	-0.29905 	-0.49210 	-0.48535 	-0.23095 	-0.38265 	-0.47020 	-0.44230 	-0.46220 	-0.15460 	-0.21365 	-0.27500 	0.10175 	-0.06165 
-0.05550 	-0.13750 	0.10080 	-0.25920 	-0.61405 	-0.17075 	0.02050 	-0.21860 	-0.73055 	-0.43330 	-0.20050 	-0.34480 	-0.70270 	-0.22300 	-0.38485 	-0.54340 	-0.50950 	-0.28885 	-0.46985 	-0.54995 	-0.48515 	-0.48370 	-0.21340 	-0.26320 	-0.30575 	0.05890 	-0.10400 
-0.07640 	-0.15535 	0.04745 	-0.30165 	-0.63805 	-0.19735 	-0.04370 	-0.25070 	-0.77075 	-0.46730 	-0.27570 	-0.35775 	-0.69455 	-0.27300 	-0.46880 	-0.59080 	-0.52895 	-0.34930 	-0.55420 	-0.62565 	-0.52365 	-0.50275 	-0.26910 	-0.31070 	-0.33485 	0.01645 	-0.14490 
-0.09735 	-0.16350 	-0.00450 	-0.34115 	-0.65585 	-0.22315 	-0.10725 	-0.28155 	-0.79930 	-0.49795 	-0.34910 	-0.36920 	-0.67625 	-0.32390 	-0.55000 	-0.63405 	-0.54415 	-0.40925 	-0.63435 	-0.69600 	-0.55675 	-0.51825 	-0.31990 	-0.35445 	-0.36075 	-0.02400 	-0.18205 
-0.11895 	-0.16530 	-0.05540 	-0.37800 	-0.66815 	-0.24595 	-0.17030 	-0.31170 	-0.81640 	-0.52315 	-0.42035 	-0.38080 	-0.64855 	-0.37310 	-0.62740 	-0.67315 	-0.55560 	-0.46530 	-0.70890 	-0.75980 	-0.58355 	-0.52900 	-0.36430 	-0.39270 	-0.38180 	-0.06060 	-0.21330 
-0.14170 	-0.16470 	-0.10570 	-0.41245 	-0.67575 	-0.26430 	-0.23265 	-0.34145 	-0.82280 	-0.54080 	-0.48885 	-0.39350 	-0.61300 	-0.41855 	-0.69995 	-0.70790 	-0.56375 	-0.51410 	-0.77660 	-0.81600 	-0.60315 	-0.53375 	-0.40090 	-0.42380 	-0.39675 	-0.09180 	-0.23670 
