[Subject]	
[Date]	05/30/2016
[Time]	17:35:24
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	114
[Rejected]	4933
[Domain]	Time
[Rows]	Points																									
[Electrode Labels]																											
[FP2]	        [AF4]	        [F2]	        [F4]	        [F6]	        [F8]	        [FC2]	        [FC4]	        [FC6]	        [FT8]	        [C2]	        [C4]	        [C6]	        [T8]	        [CP2]	        [CP4]	        [CP6]	        [TP8]	        [P2]	        [P4]	        [P6]	        [P8]	        [PO4]	        [PO6]	        [PO8]	        [O2]	        [CB2]	
[Electrode XUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Electrode YUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Average Data]
0.16425 	0.04785 	0.09845 	0.22925 	0.14920 	0.26735 	0.27730 	0.39800 	0.28065 	0.27955 	0.52350 	0.47870 	0.68295 	0.44565 	0.47165 	0.51380 	0.45940 	0.50800 	0.47740 	0.50015 	0.45870 	0.33125 	0.35660 	0.39280 	0.28965 	0.11340 	0.00040 
0.15900 	0.06675 	0.11730 	0.26250 	0.18720 	0.30260 	0.29665 	0.44375 	0.32725 	0.28895 	0.53985 	0.53670 	0.69880 	0.46440 	0.49495 	0.55360 	0.50350 	0.50105 	0.50970 	0.53075 	0.49345 	0.38990 	0.39215 	0.42455 	0.32965 	0.12895 	-0.00615 
0.15730 	0.09600 	0.14050 	0.29875 	0.22730 	0.34305 	0.31675 	0.48780 	0.37470 	0.29795 	0.55625 	0.59235 	0.70760 	0.47615 	0.51910 	0.59400 	0.54940 	0.49095 	0.54210 	0.56205 	0.52835 	0.44855 	0.42790 	0.45510 	0.36955 	0.14295 	-0.01450 
0.15855 	0.13300 	0.16780 	0.33775 	0.26920 	0.38810 	0.33800 	0.53045 	0.42285 	0.30645 	0.57310 	0.64530 	0.71165 	0.48045 	0.54460 	0.63485 	0.59685 	0.47740 	0.57495 	0.59405 	0.56320 	0.50640 	0.46350 	0.48430 	0.40890 	0.15550 	-0.02445 
0.16220 	0.17435 	0.19850 	0.37915 	0.31265 	0.43625 	0.36055 	0.57180 	0.47140 	0.31515 	0.59085 	0.69520 	0.71315 	0.47770 	0.57170 	0.67585 	0.64510 	0.46065 	0.60825 	0.62675 	0.59765 	0.56260 	0.49830 	0.51210 	0.44720 	0.16675 	-0.03560 
0.16690 	0.21630 	0.23165 	0.42220 	0.35720 	0.48565 	0.38440 	0.61185 	0.51965 	0.32510 	0.60955 	0.74200 	0.71365 	0.46900 	0.60030 	0.71680 	0.69360 	0.44115 	0.64200 	0.66000 	0.63145 	0.61645 	0.53175 	0.53845 	0.48395 	0.17685 	-0.04770 
0.17160 	0.25515 	0.26595 	0.46580 	0.40230 	0.53385 	0.40925 	0.65050 	0.56640 	0.33775 	0.62915 	0.78560 	0.71400 	0.45615 	0.63025 	0.75725 	0.74145 	0.41985 	0.67590 	0.69350 	0.66430 	0.66725 	0.56320 	0.56320 	0.51880 	0.18605 	-0.06005 
0.17520 	0.28755 	0.30005 	0.50890 	0.44710 	0.57880 	0.43465 	0.68730 	0.61055 	0.35415 	0.64940 	0.82565 	0.71465 	0.44160 	0.66115 	0.79685 	0.78785 	0.39825 	0.70975 	0.72710 	0.69600 	0.71455 	0.59240 	0.58645 	0.55165 	0.19485 	-0.07185 
0.17675 	0.31095 	0.33285 	0.55035 	0.49070 	0.61875 	0.46045 	0.72175 	0.65075 	0.37490 	0.67000 	0.86205 	0.71565 	0.42825 	0.69280 	0.83520 	0.83235 	0.37820 	0.74345 	0.76065 	0.72675 	0.75810 	0.61925 	0.60845 	0.58260 	0.20405 	-0.08195 
0.17600 	0.32405 	0.36345 	0.58945 	0.53250 	0.65255 	0.48630 	0.75355 	0.68595 	0.39995 	0.69080 	0.89450 	0.71675 	0.41895 	0.72490 	0.87215 	0.87425 	0.36175 	0.77695 	0.79420 	0.75665 	0.79785 	0.64420 	0.62955 	0.61215 	0.21460 	-0.08905 
0.17285 	0.32685 	0.39155 	0.62565 	0.57180 	0.67995 	0.51225 	0.78215 	0.71550 	0.42915 	0.71155 	0.92265 	0.71790 	0.41625 	0.75715 	0.90745 	0.91335 	0.35105 	0.81035 	0.82785 	0.78615 	0.83400 	0.66800 	0.65055 	0.64095 	0.22755 	-0.09185 
0.16775 	0.32050 	0.41710 	0.65890 	0.60835 	0.70135 	0.53835 	0.80725 	0.73910 	0.46220 	0.73220 	0.94605 	0.71910 	0.42175 	0.78960 	0.94090 	0.94955 	0.34780 	0.84395 	0.86180 	0.81560 	0.86685 	0.69145 	0.67195 	0.66965 	0.24400 	-0.08905 
0.16150 	0.30730 	0.44050 	0.68925 	0.64195 	0.71755 	0.56475 	0.82875 	0.75655 	0.49895 	0.75260 	0.96410 	0.72040 	0.43610 	0.82210 	0.97230 	0.98270 	0.35315 	0.87785 	0.89615 	0.84535 	0.89660 	0.71560 	0.69445 	0.69880 	0.26465 	-0.07990 
0.15500 	0.29035 	0.46255 	0.71710 	0.67240 	0.72925 	0.59160 	0.84670 	0.76810 	0.53855 	0.77270 	0.97660 	0.72215 	0.45860 	0.85450 	1.00135 	1.01300 	0.36760 	0.91205 	0.93085 	0.87560 	0.92355 	0.74125 	0.71840 	0.72870 	0.29005 	-0.06405 
0.14960 	0.27325 	0.48405 	0.74275 	0.69935 	0.73700 	0.61925 	0.86135 	0.77380 	0.57950 	0.79250 	0.98340 	0.72460 	0.48765 	0.88685 	1.02775 	1.04055 	0.39095 	0.94655 	0.96590 	0.90640 	0.94780 	0.76920 	0.74405 	0.75950 	0.32010 	-0.04155 
