VISCPT......= Version 3.00				
id..........= -----				
operator....= -----				
doctor......= -----				
referral....= -----				
institution.= -----				
subject.....= -----				
name........= OutMan				
age.........= 0				
sex.........= 0				
hand........= 0				
medications.= -----				
class.......= -----				
state.......= -----				
label.......= -----				
date........= 05/12/17				
time........= 20:27:34				
eduction....= -----				
occupation..= -----				
programmer..= ChunHui_Sun				
Trial   Resp    Type    Correct     Latency				
-----   ----    ----    -------   -----------				
540	1	202	-1	800
541	1	3	0	800
542	1	202	-1	800
543	1	5	0	800
544	1	202	-1	800
545	1	7	1	800
546	1	201	-1	800
547	1	5	0	800
548	1	202	-1	800
549	1	3	0	800
550	1	202	-1	800
551	1	203	-1	800
552	1	3	0	800
553	1	202	-1	800
554	1	5	1	800
555	1	201	-1	800
556	1	5	0	800
557	1	202	-1	800
558	1	3	0	800
559	1	202	-1	800
560	1	3	0	800
561	1	202	-1	800
562	1	7	1	800
563	1	201	-1	800
564	1	7	1	800
565	1	201	-1	800
566	1	5	1	800
567	1	201	-1	800
568	1	7	1	800
569	1	201	-1	800
570	1	7	1	800
571	1	201	-1	800
572	1	7	0	800
573	1	202	-1	800
574	1	7	1	800
575	1	201	-1	800
576	1	7	1	800
577	1	201	-1	800
578	1	3	0	800
579	1	202	-1	800
580	1	5	0	800
581	1	202	-1	800
582	1	3	0	800
583	1	202	-1	800
584	1	5	0	800
585	1	202	-1	800
586	1	5	0	800
587	1	202	-1	800
588	1	5	0	800
589	1	202	-1	800
590	1	3	1	800
591	1	201	-1	800
592	1	5	0	800
593	1	202	-1	800
594	1	7	1	800
595	1	201	-1	800
596	1	7	1	800
597	1	201	-1	800
598	1	3	0	800
599	1	202	-1	800
600	1	3	0	800
601	1	202	-1	800
602	1	7	1	800
603	1	201	-1	800
604	1	5	0	800
605	1	202	-1	800
606	1	7	0	800
607	1	202	-1	800
608	1	3	0	800
609	1	202	-1	800
610	1	5	0	800
611	1	202	-1	800
612	1	5	1	800
613	1	201	-1	800
614	1	5	0	800
615	1	202	-1	800
616	1	3	0	800
617	1	202	-1	800
618	1	5	0	800
619	1	202	-1	800
620	1	7	1	800
621	1	201	-1	800
622	1	3	0	800
623	1	202	-1	800
624	1	3	0	800
625	1	202	-1	800
626	1	5	0	800
627	1	202	-1	800
628	1	3	0	800
629	1	202	-1	800
630	1	7	1	800
631	1	201	-1	800
632	1	3	0	800
633	1	202	-1	800
634	1	7	1	800
635	1	201	-1	800
636	1	3	0	800
637	1	202	-1	800
638	1	7	1	800
639	1	201	-1	800
640	1	5	1	800
641	1	201	-1	800
642	1	203	-1	800
643	1	5	1	800
644	1	201	-1	800
645	1	5	0	800
646	1	202	-1	800
647	1	5	1	800
648	1	201	-1	800
649	1	3	0	800
650	1	202	-1	800
651	1	7	1	800
652	1	201	-1	800
653	1	5	1	800
654	1	201	-1	800
655	1	3	0	800
656	1	202	-1	800
657	1	5	1	800
658	1	201	-1	800
659	1	3	0	800
660	1	202	-1	800
661	1	7	1	800
662	1	201	-1	800
663	1	3	0	800
664	1	202	-1	800
665	1	7	1	800
666	1	201	-1	800
667	1	5	1	800
668	1	201	-1	800
669	1	3	0	800
670	1	202	-1	800
671	1	3	0	800
672	1	202	-1	800
673	1	3	0	800
674	1	202	-1	800
675	1	5	0	800
676	1	202	-1	800
677	1	7	1	800
678	1	201	-1	800
679	1	7	1	800
680	1	201	-1	800
681	1	7	0	800
682	1	202	-1	800
683	1	5	0	800
684	1	202	-1	800
685	1	3	0	800
686	1	202	-1	800
687	1	7	0	800
688	1	202	-1	800
689	1	5	0	800
690	1	202	-1	800
691	1	3	0	800
692	1	202	-1	800
693	1	7	1	800
694	1	201	-1	800
695	1	7	1	800
696	1	201	-1	800
697	1	7	1	800
698	1	201	-1	800
699	1	5	0	800
700	1	202	-1	800
701	1	7	1	800
702	1	201	-1	800
703	1	5	0	800
704	1	202	-1	800
705	1	5	0	800
706	1	202	-1	800
707	1	7	1	800
708	1	201	-1	800
709	1	3	0	800
710	1	202	-1	800
711	1	5	1	800
712	1	201	-1	800
713	1	3	0	800
714	1	202	-1	800
715	1	7	1	800
716	1	201	-1	800
717	1	3	0	800
718	1	202	-1	800
719	1	5	0	800
720	1	202	-1	800
721	1	7	1	800
722	1	201	-1	800
723	1	7	1	800
724	1	201	-1	800
725	1	3	0	800
726	1	202	-1	800
727	1	3	0	800
728	1	202	-1	800
729	1	5	0	800
730	1	202	-1	800
731	1	3	0	800
732	1	202	-1	800
733	1	203	-1	800
734	1	3	0	800
735	1	202	-1	800
736	1	7	1	800
737	1	201	-1	800
738	1	5	0	800
739	1	202	-1	800
740	1	3	0	800
741	1	202	-1	800
742	1	3	0	800
743	1	202	-1	800
744	1	5	0	800
745	1	202	-1	800
746	1	5	1	800
747	1	201	-1	800
748	1	5	0	800
749	1	202	-1	800
750	1	7	1	800
751	1	201	-1	800
752	1	5	0	800
753	1	202	-1	800
754	1	3	0	800
755	1	202	-1	800
756	1	7	1	800
757	1	201	-1	800
758	1	5	1	800
759	1	201	-1	800
760	1	5	0	800
761	1	202	-1	800
762	1	3	0	800
763	1	202	-1	800
764	1	7	0	800
765	1	202	-1	800
766	1	5	0	800
767	1	202	-1	800
768	1	3	0	800
769	1	202	-1	800
770	1	7	1	800
771	1	201	-1	800
772	1	3	0	800
773	1	202	-1	800
774	1	3	0	800
775	1	202	-1	800
776	1	3	1	800
777	1	201	-1	800
778	1	3	0	800
779	1	202	-1	800
780	1	3	0	800
781	1	202	-1	800
782	1	5	0	800
783	1	202	-1	800
784	1	3	0	800
785	1	202	-1	800
786	1	3	0	800
787	1	202	-1	800
788	1	7	1	800
789	1	201	-1	800
790	1	7	1	800
791	1	201	-1	800
792	1	7	1	800
793	1	201	-1	800
794	1	7	1	800
795	1	201	-1	800
796	1	3	0	800
797	1	202	-1	800
798	1	5	1	800
799	1	201	-1	800
800	1	7	1	800
801	1	201	-1	800
802	1	3	0	800
803	1	202	-1	800
804	1	7	1	800
805	1	201	-1	800
806	1	5	0	800
807	1	202	-1	800
808	1	7	1	800
809	1	201	-1	800
810	1	7	1	800
811	1	201	-1	800
812	1	5	0	800
813	1	202	-1	800
814	1	7	1	800
815	1	201	-1	800
816	1	5	0	800
817	1	202	-1	800
818	1	5	0	800
819	1	202	-1	800
820	1	7	1	800
821	1	201	-1	800
822	1	5	0	800
823	1	202	-1	800
824	1	203	-1	800
825	1	5	0	800
826	1	202	-1	800
827	1	5	0	800
828	1	202	-1	800
829	1	7	1	800
830	1	201	-1	800
831	1	3	0	800
832	1	202	-1	800
833	1	3	0	800
834	1	202	-1	800
835	1	3	0	800
836	1	202	-1	800
837	1	5	0	800
838	1	202	-1	800
839	1	3	0	800
840	1	202	-1	800
841	1	5	0	800
842	1	202	-1	800
843	1	5	0	800
844	1	202	-1	800
845	1	5	0	800
846	1	202	-1	800
847	1	7	1	800
848	1	201	-1	800
849	1	7	1	800
850	1	201	-1	800
851	1	5	1	800
852	1	201	-1	800
853	1	7	1	800
854	1	201	-1	800
855	1	7	1	800
856	1	201	-1	800
857	1	7	1	800
858	1	201	-1	800
859	1	7	1	800
860	1	201	-1	800
861	1	5	0	800
862	1	202	-1	800
863	1	3	0	800
864	1	202	-1	800
865	1	3	0	800
866	1	202	-1	800
867	1	3	0	800
868	1	202	-1	800
869	1	7	1	800
870	1	201	-1	800
871	1	3	0	800
872	1	202	-1	800
873	1	7	1	800
874	1	201	-1	800
875	1	3	0	800
876	1	202	-1	800
877	1	5	0	800
878	1	202	-1	800
879	1	5	1	800
880	1	201	-1	800
881	1	3	0	800
882	1	202	-1	800
883	1	3	0	800
884	1	202	-1	800
885	1	3	0	800
886	1	202	-1	800
887	1	5	0	800
888	1	202	-1	800
889	1	7	1	800
890	1	201	-1	800
891	1	5	0	800
892	1	202	-1	800
893	1	5	0	800
894	1	202	-1	800
895	1	7	1	800
896	1	201	-1	800
897	1	3	0	800
898	1	202	-1	800
899	1	7	1	800
