id,eventcode,col3,col4,col5,time
320,203,0,0,0.0000,1199512
321,5,0,0,0.0000,1209138
322,201,0,0,0.0000,1209577
323,5,0,0,0.0000,1211479
324,201,0,0,0.0000,1212170
325,3,0,0,0.0000,1214038
326,202,0,0,0.0000,1214730
327,7,0,0,0.0000,1216479
328,201,0,0,0.0000,1217034
329,3,0,0,0.0000,1218921
330,202,0,0,0.0000,1219499
331,5,0,0,0.0000,1221321
332,201,0,0,0.0000,1221963
333,3,0,0,0.0000,1223896
334,201,0,0,0.0000,1224699
335,7,0,0,0.0000,1226496
336,201,0,0,0.0000,1227100
337,3,0,0,0.0000,1228946
338,202,0,0,0.0000,1229724
339,7,0,0,0.0000,1231272
340,201,0,0,0.0000,1231917
341,3,0,0,0.0000,1233605
342,201,0,0,0.0000,1234285
343,7,0,0,0.0000,1235988
344,201,0,0,0.0000,1236573
345,5,0,0,0.0000,1238288
346,201,0,0,0.0000,1238974
347,3,0,0,0.0000,1240522
348,201,0,0,0.0000,1241342
349,7,0,0,0.0000,1252564
350,201,0,0,0.0000,1253104
351,3,0,0,0.0000,1254772
352,201,0,0,0.0000,1255360
353,7,0,0,0.0000,1256997
354,202,0,0,0.0000,1257792
355,5,0,0,0.0000,1263939
356,202,0,0,0.0000,1264545
357,5,0,0,0.0000,1266289
358,201,0,0,0.0000,1266834
359,5,0,0,0.0000,1268873
360,201,0,0,0.0000,1269474
361,5,0,0,0.0000,1271081
362,201,0,0,0.0000,1271762
363,3,0,0,0.0000,1273614
364,202,0,0,0.0000,1274211
365,5,0,0,0.0000,1275914
366,201,0,0,0.0000,1276451
367,5,0,0,0.0000,1278414
368,201,0,0,0.0000,1278963
369,3,0,0,0.0000,1280806
370,201,0,0,0.0000,1281540
371,3,0,0,0.0000,1290290
372,202,0,0,0.0000,1290933
373,3,0,0,0.0000,1292798
374,201,0,0,0.0000,1293382
375,5,0,0,0.0000,1295373
376,202,0,0,0.0000,1296086
377,5,0,0,0.0000,1297815
378,201,0,0,0.0000,1298502
379,7,0,0,0.0000,1300407
380,201,0,0,0.0000,1301063
381,3,0,0,0.0000,1302632
382,202,0,0,0.0000,1303351
383,7,0,0,0.0000,1304932
384,201,0,0,0.0000,1305655
385,5,0,0,0.0000,1307399
386,202,0,0,0.0000,1308392
387,203,0,0,0.0000,1536234
388,3,0,0,0.0000,1541005
389,201,0,0,0.0000,1541626
390,3,0,0,0.0000,1543388
391,202,0,0,0.0000,1544059
392,5,0,0,0.0000,1545988
393,201,0,0,0.0000,1546635
394,3,0,0,0.0000,1548389
395,201,0,0,0.0000,1548891
396,3,0,0,0.0000,1550839
397,201,0,0,0.0000,1551452
398,5,0,0,0.0000,1553347
399,202,0,0,0.0000,1554124
400,7,0,0,0.0000,1555764
401,201,0,0,0.0000,1556300
402,7,0,0,0.0000,1558322
403,201,0,0,0.0000,1558893
404,7,0,0,0.0000,1560906
405,202,0,0,0.0000,1561693
406,3,0,0,0.0000,1563431
407,201,0,0,0.0000,1563934
408,5,0,0,0.0000,1565856
409,201,0,0,0.0000,1566398
410,3,0,0,0.0000,1568089
411,201,0,0,0.0000,1568782
412,3,0,0,0.0000,1570597
413,202,0,0,0.0000,1571263
414,7,0,0,0.0000,1573098
415,201,0,0,0.0000,1573567
416,3,0,0,0.0000,1575514
417,201,0,0,0.0000,1576159
418,7,0,0,0.0000,1577898
419,201,0,0,0.0000,1578560
420,7,0,0,0.0000,1580306
421,201,0,0,0.0000,1580976
422,3,0,0,0.0000,1582714
423,201,0,0,0.0000,1583600
424,7,0,0,0.0000,1585265
425,201,0,0,0.0000,1585873
426,7,0,0,0.0000,1587473
427,201,0,0,0.0000,1588065
428,7,0,0,0.0000,1589765
429,202,0,0,0.0000,1590273
430,5,0,0,0.0000,1592306
431,202,0,0,0.0000,1593106
432,7,0,0,0.0000,1594815
433,201,0,0,0.0000,1595346
434,5,0,0,0.0000,1597057
435,201,0,0,0.0000,1597602
436,5,0,0,0.0000,1599532
437,201,0,0,0.0000,1600211
438,7,0,0,0.0000,1601957
439,202,0,0,0.0000,1602675
440,5,0,0,0.0000,1604482
441,201,0,0,0.0000,1605076
442,5,0,0,0.0000,1606773
443,201,0,0,0.0000,1607428
