trial,respond,type,correct,latancy
450,1,5,0,800
451,1,202,-1,800
452,1,3,0,800
453,1,202,-1,800
454,1,5,1,800
455,1,201,-1,800
456,1,3,1,800
457,1,201,-1,800
458,1,3,1,800
459,1,201,-1,800
460,1,7,1,800
461,1,201,-1,800
462,1,5,0,800
463,1,202,-1,800
464,1,7,1,800
465,1,201,-1,800
466,1,3,0,800
467,1,202,-1,800
468,1,3,1,800
469,1,201,-1,800
470,1,5,1,800
471,1,201,-1,800
472,1,7,1,800
473,1,201,-1,800
474,1,5,1,800
475,1,201,-1,800
476,1,3,0,800
477,1,202,-1,800
478,1,203,-1,800
479,1,3,1,800
480,1,201,-1,800
481,1,7,1,800
482,1,201,-1,800
483,1,3,0,800
484,1,202,-1,800
485,1,7,1,800
486,1,201,-1,800
487,1,5,0,800
488,1,202,-1,800
489,1,3,1,800
490,1,201,-1,800
491,1,5,0,800
492,1,202,-1,800
493,1,3,0,800
494,1,202,-1,800
495,1,5,1,800
496,1,201,-1,800
497,1,3,1,800
498,1,201,-1,800
499,1,5,1,800
500,1,201,-1,800
501,1,3,0,800
502,1,202,-1,800
503,1,5,1,800
504,1,201,-1,800
505,1,3,0,800
506,1,202,-1,800
507,1,3,1,800
508,1,201,-1,800
509,1,5,-1,800
510,1,7,0,800
511,1,202,-1,800
512,1,7,1,800
513,1,201,-1,800
514,1,5,1,800
515,1,201,-1,800
516,1,7,1,800
517,1,201,-1,800
518,1,3,1,800
519,1,201,-1,800
520,1,3,0,800
521,1,202,-1,800
522,1,5,1,800
523,1,201,-1,800
524,1,5,1,800
525,1,201,-1,800
526,1,5,1,800
527,1,201,-1,800
528,1,7,1,800
529,1,201,-1,800
530,1,7,1,800
531,1,201,-1,800
532,1,5,0,800
533,1,202,-1,800
534,1,7,1,800
535,1,201,-1,800
536,1,7,1,800
537,1,201,-1,800
538,1,3,1,800
539,1,201,-1,800
540,1,7,0,800
541,1,202,-1,800
542,1,5,1,800
543,1,201,-1,800
544,1,5,0,800
545,1,202,-1,800
546,1,3,1,800
547,1,201,-1,800
548,1,7,1,800
549,1,201,-1,800
550,1,3,0,800
551,1,202,-1,800
552,1,203,-1,800
553,1,3,1,800
554,1,201,-1,800
555,1,7,1,800
556,1,201,-1,800
557,1,3,0,800
558,1,202,-1,800
559,1,7,1,800
560,1,201,-1,800
561,1,5,1,800
562,1,201,-1,800
563,1,5,1,800
564,1,201,-1,800
565,1,3,1,800
566,1,201,-1,800
567,1,5,1,800
568,1,201,-1,800
569,1,7,0,800
570,1,202,-1,800
571,1,3,0,800
572,1,202,-1,800
573,1,3,0,800
574,1,202,-1,800
575,1,7,1,800
576,1,201,-1,800
577,1,7,1,800
578,1,201,-1,800
579,1,5,0,800
580,1,202,-1,800
581,1,5,1,800
582,1,201,-1,800
583,1,5,1,800
584,1,201,-1,800
585,1,7,0,800
586,1,202,-1,800
587,1,5,1,800
588,1,201,-1,800
589,1,7,1,800
590,1,201,-1,800
591,1,7,0,800
592,1,202,-1,800
593,1,7,1,800
594,1,201,-1,800
595,1,5,1,800
596,1,201,-1,800
597,1,3,0,800
598,1,202,-1,800
599,1,5,1,800
600,1,201,-1,800
601,1,5,-1,800
602,1,3,1,800
603,1,201,-1,800
604,1,3,1,800
605,1,201,-1,800
606,1,3,0,800
607,1,202,-1,800
608,1,3,1,800
609,1,201,-1,800
610,1,3,1,800
611,1,201,-1,800
612,1,5,1,800
613,1,201,-1,800
614,1,3,0,800
615,1,202,-1,800
616,1,5,1,800
617,1,201,-1,800
618,1,3,1,800
619,1,201,-1,800
620,1,7,1,800
621,1,201,-1,800
622,1,7,0,800
623,1,202,-1,800
624,1,5,1,800
625,1,201,-1,800
626,1,7,1,800
627,1,201,-1,800
628,1,7,1,800
629,1,201,-1,800
630,1,5,0,800
631,1,202,-1,800
632,1,3,1,800
633,1,201,-1,800
634,1,7,0,800
635,1,202,-1,800
636,1,3,0,800
637,1,202,-1,800
638,1,5,1,800
639,1,201,-1,800
640,1,7,0,800
641,1,202,-1,800
642,1,203,-1,800
643,1,3,0,800
644,1,202,-1,800
645,1,3,1,800
646,1,201,-1,800
647,1,3,1,800
648,1,201,-1,800
649,1,5,1,800
650,1,201,-1,800
651,1,7,0,800
652,1,202,-1,800
653,1,3,1,800
654,1,201,-1,800
655,1,7,1,800
656,1,201,-1,800
657,1,7,0,800
658,1,202,-1,800
659,1,7,1,800
660,1,201,-1,800
661,1,3,0,800
662,1,202,-1,800
663,1,201,-1,800
664,1,5,1,800
665,1,201,-1,800
666,1,3,0,800
667,1,202,-1,800
668,1,7,1,800
669,1,201,-1,800
670,1,5,1,800
671,1,201,-1,800
672,1,7,1,800
673,1,201,-1,800
674,1,5,1,800
675,1,201,-1,800
676,1,5,0,800
677,1,202,-1,800
678,1,3,1,800
679,1,201,-1,800
680,1,3,0,800
681,1,202,-1,800
682,1,3,0,800
