groupid,stimu,stimu_time,resp,resp_time,rt
279,3,2160164,202,2160742,578
280,3,2162397,202,2162998,601
281,7,2164897,201,2165494,597
282,7,2167439,201,2167975,536
283,5,2170014,202,2170503,489
284,5,2172239,201,2172919,680
285,5,2174472,201,2175208,736
286,7,2176939,202,2177720,781
287,5,2179156,201,2179816,660
288,7,2181606,201,2182201,595
289,7,2184048,202,2184713,665
290,7,2186473,201,2186937,464
291,5,2188889,201,2189290,401
292,3,2191098,202,2191594,496
293,5,2193340,201,2193898,558
294,5,2195648,0,0,0
295,3,2273050,201,2273670,620
296,3,2275417,201,2276023,606
297,3,2277942,202,2278583,641
298,3,2280284,201,2281111,827
299,3,2282667,201,2283304,637
300,5,2284934,201,2285560,626
301,3,2287492,202,2288088,596
302,5,2289759,201,2290313,554
303,3,2292092,201,2292873,781
304,7,2294392,201,2295033,641
305,7,2296709,202,2297434,725
306,5,2298951,201,2299562,611
307,7,2301476,201,2302106,630
308,7,2303709,201,2304363,654
309,5,2305934,202,2306491,557
310,3,2308209,201,2308907,698
311,7,2310476,202,2311340,864
312,3,2313026,202,2313612,586
313,5,2315626,201,2316237,611
314,7,2318151,202,2318845,694
315,3,2367661,202,2368452,791
316,3,2369961,201,2370533,572
317,3,2372553,201,2373317,764
318,5,2375061,201,2375765,704
319,7,2377453,202,2378054,601
320,3,2379678,201,2380454,776
321,7,2381911,201,2382550,639
322,7,2384403,202,2385191,788
323,7,2386811,201,2387463,652
324,3,2389153,202,2389879,726
325,5,2398887,201,2399641,754
326,3,2401437,202,2402169,732
327,7,2403954,201,2404570,616
328,5,2406370,201,2406954,584
329,7,2408945,201,2409626,681
330,5,2411454,201,2412011,557
331,5,2413821,202,2414411,590
332,3,2416254,201,2416907,653
333,3,2418587,202,2419308,721
334,3,2420912,202,2421852,940
335,7,2423179,201,2423773,594
336,5,2425563,202,2426285,722
337,7,2428088,201,2428685,597
338,7,2430529,201,2431182,653
339,3,2432913,202,2433422,509
340,5,2435304,202,2436078,774
341,5,2437746,201,2438239,493
342,5,2440205,201,2440815,610
343,3,2442763,202,2443391,628
344,5,2445130,201,2445616,486
345,3,2447696,201,2448272,576
346,3,2450147,201,2450672,525
347,7,2452522,201,2453137,615
348,7,2454963,202,2455489,526
349,5,2457322,201,2457809,487
350,5,2459772,201,2460354,582
351,5,2461980,201,2462562,582
352,7,2464397,202,2464962,565
353,7,2466880,201,2467443,563
354,3,2469322,202,2469923,601
355,3,2471864,201,2472484,620
356,7,2474322,202,2474932,610
357,3,2519090,202,2519835,745
358,5,2521507,201,2522059,552
359,7,2523840,201,2524315,475
360,3,2526290,201,2526988,698
361,3,2528590,202,2529036,446
362,5,2531090,201,2531404,314
363,5,2533499,201,2534221,722
364,5,2536032,202,2536717,685
365,5,2538374,202,2539181,807
366,7,2540932,201,2541518,586
367,7,2543174,201,2543742,568
368,5,2545566,202,2546366,800
369,5,2547999,201,2548639,640
370,3,2550474,202,2551231,757
371,7,2552724,201,2553472,748
372,3,2555116,202,2555648,532
373,7,2557383,202,2558016,633
374,5,2559641,202,2560609,968
375,5,2562033,201,2562737,704
376,5,2564333,202,2564961,628
377,5,2566925,201,2567458,533
378,7,2569408,201,2570178,770
379,3,2571942,202,2572578,636
380,7,2574283,201,2575219,936
381,3,2576800,202,2577379,579
382,7,2579158,201,2579891,733
383,3,2581383,202,2582068,685
384,7,2583892,201,2584404,512
385,7,2586359,202,2587301,942
386,5,2588875,201,2589445,570
387,7,2591367,201,2592085,718
388,3,2593692,202,2594326,634
389,3,2596126,201,2596758,632
390,3,2598426,202,2599062,636
391,3,2600992,201,2601543,551
392,5,2603351,202,2603975,624
393,5,2605776,201,2606343,567
394,7,2608076,202,2608680,604
395,3,2610334,201,2610872,538
396,7,2612734,202,2613400,666
397,7,2615176,201,2615737,561
398,3,2617518,202,2618089,571
399,5,2619943,201,2620569,626
400,3,2622460,202,2623130,670
401,7,2624760,201,2625386,626
402,5,2680636,201,2682051,1415
403,7,2690311,201,2690756,445
404,3,2692662,201,2693284,622
405,7,2694887,201,2695396,509
406,3,2697370,202,2697893,523
407,7,2699720,201,2700277,557
408,3,2702028,201,2702534,506
409,7,2704562,201,2705142,580
410,7,2706937,202,2707350,413
411,5,2709170,201,2709639,469
412,3,2711379,202,2711959,580
413,7,2713679,201,2714199,520
414,7,2716262,201,2716824,562
415,3,2718537,202,2719112,575
416,3,2720854,202,2721368,514
417,5,2723237,202,2723769,532
418,7,2725812,201,2726377,565
419,3,2728221,201,2728777,556
420,3,2730779,202,2731370,591
421,5,2733321,201,2733915,594
422,5,2735621,202,2736315,694
423,5,2738021,202,2738635,614
424,3,2740355,202,2741083,728
425,7,2742905,202,2743676,771
426,5,2745321,201,2745964,643
427,3,2747763,201,2748508,745
428,5,2750338,201,2750973,635
429,7,2752913,202,2753309,396
430,7,2755405,201,2755965,560
431,5,2757755,202,2758350,595
432,5,2760230,201,2760814,584
433,3,2762505,201,2763038,533
434,5,2764847,201,2765359,512
435,7,2767414,201,2767999,585
436,7,2770014,201,2770624,610
437,5,2772547,201,2773200,653
438,7,2775089,201,2775888,799
439,3,2777647,202,2778113,466
440,5,2780222,202,2780865,643
441,3,2782572,202,2783105,533
442,3,2784864,202,2785394,530
443,3,2787272,202,2787858,586
444,7,2917818,201,2918389,571
445,3,2920384,202,2920982,598
446,3,2922909,202,2923334,425
447,5,2925285,201,2925846,561
448,5,2927535,201,2927959,424
449,7,2929851,201,2930439,588
450,7,2932335,201,2932904,569
451,5,2934651,202,2935096,445
452,3,2937218,202,2937704,486
453,5,2939818,201,2940345,527
454,3,2942410,202,2942985,575
455,5,2945002,202,2945609,607
456,7,2947260,201,2947850,590
457,3,2949469,201,2950026,557
458,5,2951727,201,2952362,635
459,7,2953960,201,2954507,547
460,7,2956444,201,2957035,591
461,7,2958677,202,2959179,502
462,5,2961002,202,2961676,674
