groupid,stimu,stimu_time,resp,resp_time,rt
313,7,1275174,201,1275568,394
314,5,1277582,201,1278017,435
315,3,1280074,201,1280529,455
316,7,1401744,201,1402451,707
317,5,1403977,202,1404547,570
318,7,1406236,202,1406916,680
319,5,1408494,202,1408948,454
320,3,1411011,202,1411508,497
321,5,1413286,202,1413717,431
322,3,1415569,202,1416005,436
323,3,1417778,202,1418245,467
324,5,1420303,202,1420646,343
325,5,1422511,201,1422998,487
326,7,1424878,201,1425366,488
327,3,1427478,202,1428151,673
328,5,1429853,202,1430327,474
329,7,1432236,201,1432728,492
330,3,1434453,202,1434872,419
331,3,1436661,202,1437160,499
332,5,1438987,202,1439401,414
333,5,1441387,202,1441977,590
334,5,1443770,202,1444377,607
335,5,1446362,202,1446922,560
336,7,1448862,201,1449274,412
337,3,1451070,202,1451658,588
338,7,1453495,202,1454043,548
339,3,1455870,201,1456267,397
340,5,1458179,202,1458763,584
341,5,1460770,201,1461180,410
342,3,1463162,201,1463548,386
343,7,1465512,201,1465900,388
344,3,1467887,202,1468525,638
345,7,1470412,201,1471181,769
346,7,1472787,202,1473262,475
347,5,1475121,202,1475822,701
348,5,1477438,202,1478094,656
349,3,1479738,202,1480415,677
350,7,1482254,201,1482863,609
351,5,1484529,201,1485087,558
352,7,1487029,201,1487520,491
353,7,1489580,201,1490160,580
354,7,1492113,201,1492688,575
355,3,1494371,202,1495009,638
356,3,1496688,202,1497361,673
357,7,1499163,201,1499809,646
358,7,1501630,202,1502146,516
359,3,1503897,201,1504434,537
360,3,1506155,202,1506626,471
361,3,1581099,201,1581854,755
362,5,1583665,201,1584222,557
363,3,1586240,202,1586926,686
364,7,1588616,202,1589199,583
365,5,1591191,201,1591871,680
366,5,1593532,201,1594191,659
367,7,1595941,201,1596464,523
368,3,1598399,202,1598944,545
369,5,1600899,201,1601408,509
370,7,1603241,201,1603793,552
371,7,1605758,201,1606337,579
372,3,1608008,202,1608594,586
373,5,1610358,202,1610962,604
374,3,1612583,202,1613122,539
375,5,1615175,202,1615907,732
376,5,1617400,201,1618083,683
377,5,1619641,202,1620291,650
378,7,1622016,201,1622628,612
379,5,1624442,202,1625060,618
380,5,1626908,201,1627444,536
381,3,1629217,201,1629781,564
382,7,1631575,202,1632053,478
383,5,1634042,201,1634549,507
384,3,1636259,201,1636758,499
385,5,1638634,202,1638998,364
386,3,1641217,201,1641654,437
387,3,1643609,202,1644151,542
388,7,1646000,202,1646407,407
389,3,1648351,202,1649031,680
390,3,1650601,202,1651224,623
391,3,1653026,202,1653560,534
392,3,1655442,202,1656057,615
393,7,1657676,202,1658233,557
394,3,1660142,202,1660777,635
395,5,1662484,201,1663002,518
396,7,1664934,202,1665498,564
397,5,1667451,201,1667882,431
398,7,1669784,201,1670395,611
399,7,1672009,201,1672475,466
400,7,1674218,201,1674619,401
401,7,1676610,201,1677068,458
402,5,1678926,201,1679388,462
403,7,1681360,202,1681836,476
404,3,1683943,201,1684333,390
405,7,1686385,202,1686893,508
406,3,1805721,202,1806607,886
407,7,1808030,201,1808607,577
408,3,1810580,202,1811167,587
409,7,1813088,202,1813568,480
410,3,1815613,202,1816224,611
411,3,1818205,202,1818736,531
412,7,1820497,201,1821105,608
413,5,1822747,201,1823345,598
414,5,1825255,201,1825826,571
415,5,1827789,201,1828210,421
416,3,1830172,201,1830658,486
417,7,1832597,202,1832979,382
418,3,1834881,202,1835571,690
419,5,1837364,201,1837923,559
420,5,1839581,201,1840084,503
421,3,1842156,202,1842836,680
422,3,1844431,201,1845108,677
423,7,1846881,201,1847541,660
424,5,1849206,201,1849845,639
425,3,1851756,202,1852293,537
426,3,1853998,202,1854550,552
427,5,1856473,202,1856934,461
428,5,1859048,202,1859591,543
429,7,1861273,202,1861831,558
430,3,1863706,202,1864311,605
431,5,1866306,202,1866936,630
432,3,1868631,202,1869320,689
433,7,1871040,201,1871640,600
434,3,1873632,202,1874201,569
435,7,1875857,201,1876457,600
436,5,1878457,201,1879049,592
437,3,1880932,201,1881402,470
438,5,1883440,202,1883786,346
439,7,1885890,201,1886266,376
440,7,1888132,201,1888619,487
441,7,1890415,201,1890891,476
442,7,1892832,201,1893307,475
443,5,1895249,201,1895612,363
