id,eventcode,time,type,meaning,group,checkas,ingroup,unusual,need
54,3,88692,stimulate,low competance face,24,1,1,0,1
55,202,89473,response,high competance key,24,2,2,0,1
56,5,91142,stimulate,medium competance face,25,1,1,0,1
57,202,91618,response,high competance key,25,2,2,0,1
58,5,93434,stimulate,medium competance face,26,1,1,0,1
59,202,93922,response,high competance key,26,2,2,0,1
60,3,95942,stimulate,low competance face,27,1,1,0,1
61,202,96483,response,high competance key,27,2,2,0,1
62,7,98284,stimulate,high competance face,28,1,1,0,1
63,201,98931,response,low competance key,28,2,2,0,1
64,3,100725,stimulate,low competance face,29,1,1,0,1
65,201,101171,response,low competance key,29,2,2,0,1
66,7,103126,stimulate,high competance face,30,1,1,0,1
67,201,103732,response,low competance key,30,2,2,0,1
68,7,105684,stimulate,high competance face,31,1,1,0,1
69,202,106388,response,high competance key,31,2,2,0,1
70,5,107951,stimulate,medium competance face,32,1,1,0,1
71,202,108612,response,high competance key,32,2,2,0,1
72,7,110359,stimulate,high competance face,33,1,1,0,1
73,202,111061,response,high competance key,33,2,2,0,1
74,7,112709,stimulate,high competance face,34,1,1,0,1
75,202,113205,response,high competance key,34,2,2,0,1
76,7,114984,stimulate,high competance face,35,1,1,0,1
77,201,115493,response,low competance key,35,2,2,0,1
78,3,117359,stimulate,low competance face,36,1,1,0,1
79,202,118086,response,high competance key,36,2,2,0,1
80,5,119576,stimulate,medium competance face,37,1,1,0,1
81,202,120214,response,high competance key,37,2,2,0,1
82,3,121976,stimulate,low competance face,38,1,1,0,1
83,202,122758,response,high competance key,38,2,2,0,1
84,5,124401,stimulate,medium competance face,39,1,1,0,1
85,202,125047,response,high competance key,39,2,2,0,1
86,7,126868,stimulate,high competance face,40,1,1,0,1
87,201,127623,response,low competance key,40,2,2,0,1
88,5,129418,stimulate,medium competance face,41,1,1,0,1
89,202,130119,response,high competance key,41,2,2,0,1
90,3,131926,stimulate,low competance face,42,1,1,0,1
91,202,132424,response,high competance key,42,2,2,0,1
92,3,134376,stimulate,low competance face,43,1,1,0,1
93,202,135160,response,high competance key,43,2,2,0,1
94,3,136776,stimulate,low competance face,44,1,1,0,1
95,202,137289,response,high competance key,44,2,2,0,1
96,5,139043,stimulate,medium competance face,45,1,1,0,1
97,202,139497,response,high competance key,45,2,2,0,1
98,203,175518,other,other,0,1,0,0,0
99,5,180486,stimulate,medium competance face,46,1,1,0,1
100,202,181199,response,high competance key,46,2,2,0,1
101,7,182719,stimulate,high competance face,47,1,1,0,1
102,201,183311,response,low competance key,47,2,2,0,1
103,3,185261,stimulate,low competance face,48,1,1,0,1
104,202,185680,response,high competance key,48,2,2,0,1
105,5,187853,stimulate,medium competance face,49,1,1,0,1
106,201,188528,response,low competance key,49,2,2,0,1
107,3,190195,stimulate,low competance face,50,1,1,0,1
108,202,190848,response,high competance key,50,2,2,0,1
109,5,192711,stimulate,medium competance face,51,1,1,0,1
110,202,193441,response,high competance key,51,2,2,0,1
111,3,195170,stimulate,low competance face,52,1,1,0,1
112,201,196177,response,low competance key,52,2,2,0,1
113,5,197745,stimulate,medium competance face,53,1,1,0,1
114,201,198690,response,low competance key,53,2,2,0,1
115,3,200136,stimulate,low competance face,54,1,1,0,1
116,202,200834,response,high competance key,54,2,2,0,1
117,7,202470,stimulate,high competance face,55,1,1,0,1
118,201,203250,response,low competance key,55,2,2,0,1
119,5,204987,stimulate,medium competance face,56,1,1,0,1
120,201,205587,response,low competance key,56,2,2,0,1
121,7,207195,stimulate,high competance face,57,1,1,0,1
122,202,207875,response,high competance key,57,2,2,0,1
123,3,209762,stimulate,low competance face,58,1,1,0,1
124,202,210451,response,high competance key,58,2,2,0,1
125,3,212278,stimulate,low competance face,59,1,1,0,1
126,202,212932,response,high competance key,59,2,2,0,1
127,3,214812,stimulate,low competance face,60,1,1,0,1
128,202,215428,response,high competance key,60,2,2,0,1
129,3,217395,stimulate,low competance face,61,1,1,0,1
130,202,218100,response,high competance key,61,2,2,0,1
131,7,219929,stimulate,high competance face,62,1,1,0,1
132,202,220453,response,high competance key,62,2,2,0,1
133,7,222454,stimulate,high competance face,63,1,1,0,1
134,201,222869,response,low competance key,63,2,2,0,1
135,7,224695,stimulate,high competance face,64,1,1,0,1
136,201,225189,response,low competance key,64,2,2,0,1
137,3,227129,stimulate,low competance face,65,1,1,0,1
138,202,227766,response,high competance key,65,2,2,0,1
139,7,229496,stimulate,high competance face,66,1,1,0,1
140,202,230198,response,high competance key,66,2,2,0,1
141,3,231971,stimulate,low competance face,67,1,1,0,1
142,202,232551,response,high competance key,67,2,2,0,1
143,3,234179,stimulate,low competance face,68,1,1,0,1
144,202,234791,response,high competance key,68,2,2,0,1
145,3,236596,stimulate,low competance face,69,1,1,0,1
146,202,237239,response,high competance key,69,2,2,0,1
147,5,239079,stimulate,medium competance face,70,1,1,0,1
148,202,239656,response,high competance key,70,2,2,0,1
149,5,241588,stimulate,medium competance face,71,1,1,0,1
150,201,242152,response,low competance key,71,2,2,0,1
151,5,243813,stimulate,medium competance face,72,1,1,0,1
152,202,244504,response,high competance key,72,2,2,0,1
153,5,246229,stimulate,medium competance face,73,1,1,0,1
154,201,247001,response,low competance key,73,2,2,0,1
155,5,248604,stimulate,medium competance face,74,1,1,0,1
156,202,249241,response,high competance key,74,2,2,0,1
157,5,251029,stimulate,medium competance face,75,1,1,0,1
158,201,251849,response,low competance key,75,2,2,0,1
159,7,253246,stimulate,high competance face,76,1,1,0,1
160,201,253754,response,low competance key,76,2,2,0,1
161,5,255455,stimulate,medium competance face,77,1,1,0,1
162,202,256218,response,high competance key,77,2,2,0,1
163,7,257813,stimulate,high competance face,78,1,1,0,1
164,201,258554,response,low competance key,78,2,2,0,1
165,3,260163,stimulate,low competance face,79,1,1,0,1
166,202,260875,response,high competance key,79,2,2,0,1
167,7,262613,stimulate,high competance face,80,1,1,0,1
168,201,263323,response,low competance key,80,2,2,0,1
169,7,264922,stimulate,high competance face,81,1,1,0,1
170,202,265627,response,high competance key,81,2,2,0,1
171,7,267513,stimulate,high competance face,82,1,1,0,1
172,202,268156,response,high competance key,82,2,2,0,1
173,7,269913,stimulate,high competance face,83,1,1,0,1
174,201,270604,response,low competance key,83,2,2,0,1
175,5,272222,stimulate,medium competance face,84,1,1,0,1
176,202,272733,response,high competance key,84,2,2,0,1
177,7,274530,stimulate,high competance face,85,1,1,0,1
178,202,275245,response,high competance key,85,2,2,0,1
179,3,276980,stimulate,low competance face,86,1,1,0,1
180,202,277789,response,high competance key,86,2,2,0,1
181,5,279322,stimulate,medium competance face,87,1,1,0,1
182,202,279918,response,high competance key,87,2,2,0,1
183,3,281780,stimulate,low competance face,88,1,1,0,1
184,202,282686,response,high competance key,88,2,2,0,1
185,5,284322,stimulate,medium competance face,89,1,1,0,1
186,202,284830,response,high competance key,89,2,2,0,1
187,7,286547,stimulate,high competance face,90,1,1,0,1
188,202,287023,response,high competance key,90,2,2,0,1
189,203,391326,other,other,0,1,0,0,0
190,3,396300,stimulate,low competance face,91,1,1,0,1
191,202,396991,response,high competance key,91,2,2,0,1
192,3,398733,stimulate,low competance face,92,1,1,0,1
193,201,399327,response,low competance key,92,2,2,0,1
194,5,401109,stimulate,medium competance face,93,1,1,0,1
195,202,401824,response,high competance key,93,2,2,0,1
196,5,403400,stimulate,medium competance face,94,1,1,0,1
197,202,403984,response,high competance key,94,2,2,0,1
198,5,405859,stimulate,medium competance face,95,1,1,0,1
199,201,406432,response,low competance key,95,2,2,0,1
200,7,408309,stimulate,high competance face,96,1,1,0,1
201,201,408993,response,low competance key,96,2,2,0,1
202,3,410642,stimulate,low competance face,97,1,1,0,1
203,202,411233,response,high competance key,97,2,2,0,1
204,5,413209,stimulate,medium competance face,98,1,1,0,1
205,202,414113,response,high competance key,98,2,2,0,1
206,3,415476,stimulate,low competance face,99,1,1,0,1
207,202,416178,response,high competance key,99,2,2,0,1
208,7,418009,stimulate,high competance face,100,1,1,0,1
209,201,418706,response,low competance key,100,2,2,0,1
210,5,420442,stimulate,medium competance face,101,1,1,0,1
211,202,420978,response,high competance key,101,2,2,0,1
212,5,422917,stimulate,medium competance face,102,1,1,0,1
213,202,423571,response,high competance key,102,2,2,0,1
214,7,425409,stimulate,high competance face,103,1,1,0,1
215,202,426035,response,high competance key,103,2,2,0,1
216,7,427868,stimulate,high competance face,104,1,1,0,1
217,201,428403,response,low competance key,104,2,2,0,1
218,5,430318,stimulate,medium competance face,105,1,1,0,1
219,202,430948,response,high competance key,105,2,2,0,1
220,5,432593,stimulate,medium competance face,106,1,1,0,1
221,201,433236,response,low competance key,106,2,2,0,1
222,5,435034,stimulate,medium competance face,107,1,1,0,1
223,202,435589,response,high competance key,107,2,2,0,1
224,7,437268,stimulate,high competance face,108,1,1,0,1
225,202,437893,response,high competance key,108,2,2,0,1
226,7,439860,stimulate,high competance face,109,1,1,0,1
227,202,440533,response,high competance key,109,2,2,0,1
228,7,442426,stimulate,high competance face,110,1,1,0,1
229,201,442902,response,low competance key,110,2,2,0,1
230,3,444776,stimulate,low competance face,111,1,1,0,1
231,202,445462,response,high competance key,111,2,2,0,1
232,3,447168,stimulate,low competance face,112,1,1,0,1
233,202,447830,response,high competance key,112,2,2,0,1
234,5,449477,stimulate,medium competance face,113,1,1,0,1
235,202,450071,response,high competance key,113,2,2,0,1
236,3,451893,stimulate,low competance face,114,1,1,0,1
237,201,452711,response,low competance key,114,2,2,0,1
238,3,454477,stimulate,low competance face,115,1,1,0,1
239,202,455095,response,high competance key,115,2,2,0,1
240,7,457027,stimulate,high competance face,116,1,1,0,1
241,202,457704,response,high competance key,116,2,2,0,1
242,5,459318,stimulate,medium competance face,117,1,1,0,1
243,201,459880,response,low competance key,117,2,2,0,1
244,5,461660,stimulate,medium competance face,118,1,1,0,1
245,202,462328,response,high competance key,118,2,2,0,1
246,7,464085,stimulate,high competance face,119,1,1,0,1
247,202,464601,response,high competance key,119,2,2,0,1
248,3,466327,stimulate,low competance face,120,1,1,0,1
249,202,466905,response,high competance key,120,2,2,0,1
250,3,468644,stimulate,low competance face,121,1,1,0,1
251,202,469257,response,high competance key,121,2,2,0,1
252,5,471227,stimulate,medium competance face,122,1,1,0,1
253,202,471770,response,high competance key,122,2,2,0,1
254,3,473494,stimulate,low competance face,123,1,1,0,1
255,201,474058,response,low competance key,123,2,2,0,1
256,3,475902,stimulate,low competance face,124,1,1,0,1
257,202,476603,response,high competance key,124,2,2,0,1
258,7,478144,stimulate,high competance face,125,1,1,0,1
259,201,478731,response,low competance key,125,2,2,0,1
260,7,480502,stimulate,high competance face,126,1,1,0,1
261,201,481035,response,low competance key,126,2,2,0,1
262,3,482877,stimulate,low competance face,127,1,1,0,1
263,202,483516,response,high competance key,127,2,2,0,1
264,7,485211,stimulate,high competance face,128,1,1,0,1
265,202,485724,response,high competance key,128,2,2,0,1
266,7,487686,stimulate,high competance face,129,1,1,0,1
267,201,488252,response,low competance key,129,2,2,0,1
268,3,490194,stimulate,low competance face,130,1,1,0,1
269,201,490781,response,low competance key,130,2,2,0,1
270,7,492794,stimulate,high competance face,131,1,1,0,1
271,202,493181,response,high competance key,131,2,2,0,1
272,5,495344,stimulate,medium competance face,132,1,1,0,1
273,201,496173,response,low competance key,132,2,2,0,1
274,5,497728,stimulate,medium competance face,133,1,1,0,1
275,201,498222,response,low competance key,133,2,2,0,1
276,7,500086,stimulate,high competance face,134,1,1,0,1
277,201,500558,response,low competance key,134,2,2,0,1
278,3,502453,stimulate,low competance face,135,1,1,0,1
279,202,503054,response,high competance key,135,2,2,0,1
280,203,601133,other,other,0,1,0,0,0
281,5,605831,stimulate,medium competance face,136,1,1,0,1
282,201,606654,response,low competance key,136,2,2,0,1
283,3,608414,stimulate,low competance face,137,1,1,0,1
284,202,608926,response,high competance key,137,2,2,0,1
285,5,610681,stimulate,medium competance face,138,1,1,0,1
286,201,611342,response,low competance key,138,2,2,0,1
287,3,612981,stimulate,low competance face,139,1,1,0,1
288,201,613423,response,low competance key,139,2,2,0,1
289,7,615298,stimulate,high competance face,140,1,1,0,1
290,201,615727,response,low competance key,140,2,2,0,1
291,7,617848,stimulate,high competance face,141,1,1,0,1
292,201,618383,response,low competance key,141,2,2,0,1
293,5,620223,stimulate,medium competance face,142,1,1,0,1
294,202,620848,response,high competance key,142,2,2,0,1
295,5,622823,stimulate,medium competance face,143,1,1,0,1
296,202,623536,response,high competance key,143,2,2,0,1
297,5,625231,stimulate,medium competance face,144,1,1,0,1
298,201,625921,response,low competance key,144,2,2,0,1
299,3,627798,stimulate,low competance face,145,1,1,0,1
300,201,628545,response,low competance key,145,2,2,0,1
301,3,630298,stimulate,low competance face,146,1,1,0,1
302,202,630897,response,high competance key,146,2,2,0,1
303,5,632590,stimulate,medium competance face,147,1,1,0,1
304,202,633170,response,high competance key,147,2,2,0,1
305,5,635023,stimulate,medium competance face,148,1,1,0,1
306,201,635714,response,low competance key,148,2,2,0,1
307,3,637423,stimulate,low competance face,149,1,1,0,1
308,202,638002,response,high competance key,149,2,2,0,1
309,5,639798,stimulate,medium competance face,150,1,1,0,1
310,202,640403,response,high competance key,150,2,2,0,1
311,5,642365,stimulate,medium competance face,151,1,1,0,1
312,201,643027,response,low competance key,151,2,2,0,1
313,7,644665,stimulate,high competance face,152,1,1,0,1
314,201,645235,response,low competance key,152,2,2,0,1
315,7,647265,stimulate,high competance face,153,1,1,0,1
316,201,647764,response,low competance key,153,2,2,0,1
317,3,649549,stimulate,low competance face,154,1,1,0,1
318,202,650052,response,high competance key,154,2,2,0,1
319,5,651882,stimulate,medium competance face,155,1,1,0,1
320,201,652420,response,low competance key,155,2,2,0,1
321,7,654207,stimulate,high competance face,156,1,1,0,1
322,202,654581,response,high competance key,156,2,2,0,1
323,5,656457,stimulate,medium competance face,157,1,1,0,1
324,202,657157,response,high competance key,157,2,2,0,1
325,7,658790,stimulate,high competance face,158,1,1,0,1
326,201,659414,response,low competance key,158,2,2,0,1
327,3,661307,stimulate,low competance face,159,1,1,0,1
328,202,661910,response,high competance key,159,2,2,0,1
329,7,663524,stimulate,high competance face,160,1,1,0,1
330,201,664086,response,low competance key,160,2,2,0,1
331,7,665899,stimulate,high competance face,161,1,1,0,1
332,201,666391,response,low competance key,161,2,2,0,1
333,7,668149,stimulate,high competance face,162,1,1,0,1
334,201,668599,response,low competance key,162,2,2,0,1
335,5,670499,stimulate,medium competance face,163,1,1,0,1
336,202,671239,response,high competance key,163,2,2,0,1
337,3,673024,stimulate,low competance face,164,1,1,0,1
338,202,673624,response,high competance key,164,2,2,0,1
339,3,675583,stimulate,low competance face,165,1,1,0,1
340,202,676136,response,high competance key,165,2,2,0,1
341,3,677791,stimulate,low competance face,166,1,1,0,1
342,202,678328,response,high competance key,166,2,2,0,1
343,7,680349,stimulate,high competance face,167,1,1,0,1
344,201,681001,response,low competance key,167,2,2,0,1
345,7,682874,stimulate,high competance face,168,1,1,0,1
346,202,683561,response,high competance key,168,2,2,0,1
347,3,685175,stimulate,low competance face,169,1,1,0,1
348,202,685721,response,high competance key,169,2,2,0,1
349,3,687700,stimulate,low competance face,170,1,1,0,1
350,202,688282,response,high competance key,170,2,2,0,1
351,7,689933,stimulate,high competance face,171,1,1,0,1
352,201,690698,response,low competance key,171,2,2,0,1
353,7,692383,stimulate,high competance face,172,1,1,0,1
354,201,692938,response,low competance key,172,2,2,0,1
355,5,694958,stimulate,medium competance face,173,1,1,0,1
356,201,695675,response,low competance key,173,2,2,0,1
357,5,697450,stimulate,medium competance face,174,1,1,0,1
358,201,698123,response,low competance key,174,2,2,0,1
359,5,699992,stimulate,medium competance face,175,1,1,0,1
360,201,700444,response,low competance key,175,2,2,0,1
361,7,702583,stimulate,high competance face,176,1,1,0,1
362,201,703148,response,low competance key,176,2,2,0,1
363,7,705175,stimulate,high competance face,177,1,1,0,1
364,201,705676,response,low competance key,177,2,2,0,1
365,3,707442,stimulate,low competance face,178,1,1,0,1
366,202,708125,response,high competance key,178,2,2,0,1
367,3,709934,stimulate,low competance face,179,1,1,0,1
368,202,710493,response,high competance key,179,2,2,0,1
369,3,712425,stimulate,low competance face,180,1,1,0,1
370,202,712973,response,high competance key,180,2,2,0,1
371,203,790153,other,other,0,1,0,0,0
372,3,795102,stimulate,low competance face,181,1,1,0,1
373,201,795818,response,low competance key,181,2,2,0,1
374,3,797686,stimulate,low competance face,182,1,1,0,1
375,202,798138,response,high competance key,182,2,2,0,1
376,5,800236,stimulate,medium competance face,183,1,1,0,1
377,201,800746,response,low competance key,183,2,2,0,1
378,5,802478,stimulate,medium competance face,184,1,1,0,1
379,202,803051,response,high competance key,184,2,2,0,1
380,3,804869,stimulate,low competance face,185,1,1,0,1
381,202,805563,response,high competance key,185,2,2,0,1
382,3,807444,stimulate,low competance face,186,1,1,0,1
383,202,808059,response,high competance key,186,2,2,0,1
384,5,809678,stimulate,medium competance face,187,1,1,0,1
385,201,810300,response,low competance key,187,2,2,0,1
386,3,811911,stimulate,low competance face,188,1,1,0,1
387,202,812396,response,high competance key,188,2,2,0,1
388,7,814453,stimulate,high competance face,189,1,1,0,1
389,201,814940,response,low competance key,189,2,2,0,1
390,5,816753,stimulate,medium competance face,190,1,1,0,1
391,202,817421,response,high competance key,190,2,2,0,1
392,7,818986,stimulate,high competance face,191,1,1,0,1
393,201,819693,response,low competance key,191,2,2,0,1
394,7,821245,stimulate,high competance face,192,1,1,0,1
395,201,821709,response,low competance key,192,2,2,0,1
396,7,823678,stimulate,high competance face,193,1,1,0,1
397,201,824110,response,low competance key,193,2,2,0,1
398,5,826103,stimulate,medium competance face,194,1,1,0,1
399,201,826590,response,low competance key,194,2,2,0,1
400,3,828603,stimulate,low competance face,195,1,1,0,1
401,202,829039,response,high competance key,195,2,2,0,1
402,5,830853,stimulate,medium competance face,196,1,1,0,1
403,202,831407,response,high competance key,196,2,2,0,1
404,3,833145,stimulate,low competance face,197,1,1,0,1
405,202,833631,response,high competance key,197,2,2,0,1
406,7,835370,stimulate,high competance face,198,1,1,0,1
407,201,836096,response,low competance key,198,2,2,0,1
408,7,837770,stimulate,high competance face,199,1,1,0,1
409,202,838384,response,high competance key,199,2,2,0,1
410,5,840362,stimulate,medium competance face,200,1,1,0,1
411,201,840928,response,low competance key,200,2,2,0,1
412,7,842579,stimulate,high competance face,201,1,1,0,1
413,201,843121,response,low competance key,201,2,2,0,1
414,5,844970,stimulate,medium competance face,202,1,1,0,1
415,201,845489,response,low competance key,202,2,2,0,1
416,7,847196,stimulate,high competance face,203,1,1,0,1
417,201,847937,response,low competance key,203,2,2,0,1
418,7,849454,stimulate,high competance face,204,1,1,0,1
419,201,849890,response,low competance key,204,2,2,0,1
420,5,851754,stimulate,medium competance face,205,1,1,0,1
421,201,852146,response,low competance key,205,2,2,0,1
422,7,854062,stimulate,high competance face,206,1,1,0,1
423,201,854498,response,low competance key,206,2,2,0,1
424,7,856446,stimulate,high competance face,207,1,1,0,1
425,201,856739,response,low competance key,207,2,2,0,1
426,7,858796,stimulate,high competance face,208,1,1,0,1
427,201,859347,response,low competance key,208,2,2,0,1
428,7,861146,stimulate,high competance face,209,1,1,0,1
429,201,861603,response,low competance key,209,2,2,0,1
430,3,863613,stimulate,low competance face,210,1,1,0,1
431,202,864340,response,high competance key,210,2,2,0,1
432,5,865829,stimulate,medium competance face,211,1,1,0,1
433,202,866452,response,high competance key,211,2,2,0,1
434,5,868338,stimulate,medium competance face,212,1,1,0,1
435,201,868916,response,low competance key,212,2,2,0,1
436,5,870755,stimulate,medium competance face,213,1,1,0,1
437,201,871301,response,low competance key,213,2,2,0,1
438,5,873138,stimulate,medium competance face,214,1,1,0,1
439,201,873685,response,low competance key,214,2,2,0,1
440,3,875713,stimulate,low competance face,215,1,1,0,1
441,202,876181,response,high competance key,215,2,2,0,1
442,5,878288,stimulate,medium competance face,216,1,1,0,1
443,201,878806,response,low competance key,216,2,2,0,1
444,3,880746,stimulate,low competance face,217,1,1,0,1
445,202,881334,response,high competance key,217,2,2,0,1
446,3,883122,stimulate,low competance face,218,1,1,0,1
447,202,883863,response,high competance key,218,2,2,0,1
448,3,885338,stimulate,low competance face,219,1,1,0,1
449,202,885927,response,high competance key,219,2,2,0,1
450,5,887805,stimulate,medium competance face,220,1,1,0,1
451,201,888503,response,low competance key,220,2,2,0,1
452,3,890330,stimulate,low competance face,221,1,1,0,1
453,202,891016,response,high competance key,221,2,2,0,1
454,3,892755,stimulate,low competance face,222,1,1,0,1
455,202,893416,response,high competance key,222,2,2,0,1
456,3,895097,stimulate,low competance face,223,1,1,0,1
457,201,895704,response,low competance key,223,2,2,0,1
458,202,895800,response,high competance key,223,1,2,1,0
459,7,897430,stimulate,high competance face,224,1,1,0,1
460,201,897993,response,low competance key,224,2,2,0,1
461,7,899730,stimulate,high competance face,225,1,1,0,1
462,201,900457,response,low competance key,225,2,2,0,1
463,203,989254,other,other,0,1,0,0,0
464,5,993983,stimulate,medium competance face,226,1,1,0,1
465,202,994551,response,high competance key,226,2,2,0,1
466,5,996333,stimulate,medium competance face,227,1,1,0,1
467,201,996839,response,low competance key,227,2,2,0,1
468,7,998716,stimulate,high competance face,228,1,1,0,1
469,201,999192,response,low competance key,228,2,2,0,1
470,3,1001050,stimulate,low competance face,229,1,1,0,1
471,201,1001464,response,low competance key,229,2,2,0,1
472,7,1003375,stimulate,high competance face,230,1,1,0,1
473,202,1003752,response,high competance key,230,2,2,0,1
474,7,1005917,stimulate,high competance face,231,1,1,0,1
475,201,1006313,response,low competance key,231,2,2,0,1
476,7,1008442,stimulate,high competance face,232,1,1,0,1
477,201,1008953,response,low competance key,232,2,2,0,1
478,3,1010875,stimulate,low competance face,233,1,1,0,1
479,202,1011561,response,high competance key,233,2,2,0,1
480,3,1013350,stimulate,low competance face,234,1,1,0,1
481,202,1014026,response,high competance key,234,2,2,0,1
482,3,1015925,stimulate,low competance face,235,1,1,0,1
483,202,1016426,response,high competance key,235,2,2,0,1
484,7,1018250,stimulate,high competance face,236,1,1,0,1
485,201,1018827,response,low competance key,236,2,2,0,1
486,7,1020850,stimulate,high competance face,237,1,1,0,1
487,201,1021339,response,low competance key,237,2,2,0,1
488,7,1023309,stimulate,high competance face,238,1,1,0,1
489,201,1023835,response,low competance key,238,2,2,0,1
490,5,1025809,stimulate,medium competance face,239,1,1,0,1
491,202,1026492,response,high competance key,239,2,2,0,1
492,5,1028167,stimulate,medium competance face,240,1,1,0,1
493,202,1028652,response,high competance key,240,2,2,0,1
494,3,1030517,stimulate,low competance face,241,1,1,0,1
495,202,1031020,response,high competance key,241,2,2,0,1
496,5,1033051,stimulate,medium competance face,242,1,1,0,1
497,202,1033581,response,high competance key,242,2,2,0,1
498,3,1035609,stimulate,low competance face,243,1,1,0,1
499,202,1036141,response,high competance key,243,2,2,0,1
500,3,1038017,stimulate,low competance face,244,1,1,0,1
501,202,1038541,response,high competance key,244,2,2,0,1
502,5,1040317,stimulate,medium competance face,245,1,1,0,1
503,202,1040718,response,high competance key,245,2,2,0,1
504,3,1042826,stimulate,low competance face,246,1,1,0,1
505,202,1043230,response,high competance key,246,2,2,0,1
506,7,1045368,stimulate,high competance face,247,1,1,0,1
507,202,1045839,response,high competance key,247,2,2,0,1
508,5,1047743,stimulate,medium competance face,248,1,1,0,1
509,201,1048127,response,low competance key,248,2,2,0,1
510,3,1050109,stimulate,low competance face,249,1,1,0,1
511,201,1050543,response,low competance key,249,2,2,0,1
512,3,1052443,stimulate,low competance face,250,1,1,0,1
513,202,1052976,response,high competance key,250,2,2,0,1
514,5,1054709,stimulate,medium competance face,251,1,1,0,1
515,202,1055232,response,high competance key,251,2,2,0,1
516,7,1057226,stimulate,high competance face,252,1,1,0,1
517,201,1057952,response,low competance key,252,2,2,0,1
518,7,1059485,stimulate,high competance face,253,1,1,0,1
519,201,1059937,response,low competance key,253,2,2,0,1
520,5,1061976,stimulate,medium competance face,254,1,1,0,1
521,201,1062497,response,low competance key,254,2,2,0,1
522,7,1064243,stimulate,high competance face,255,1,1,0,1
523,202,1064833,response,high competance key,255,2,2,0,1
524,5,1066460,stimulate,medium competance face,256,1,1,0,1
525,201,1066834,response,low competance key,256,2,2,0,1
526,5,1069043,stimulate,medium competance face,257,1,1,0,1
527,201,1069554,response,low competance key,257,2,2,0,1
528,3,1071460,stimulate,low competance face,258,1,1,0,1
529,202,1072178,response,high competance key,258,2,2,0,1
530,7,1073785,stimulate,high competance face,259,1,1,0,1
531,202,1074419,response,high competance key,259,2,2,0,1
532,3,1076093,stimulate,low competance face,260,1,1,0,1
533,201,1076611,response,low competance key,260,2,2,0,1
534,5,1078435,stimulate,medium competance face,261,1,1,0,1
535,202,1078963,response,high competance key,261,2,2,0,1
536,5,1080735,stimulate,medium competance face,262,1,1,0,1
537,202,1081284,response,high competance key,262,2,2,0,1
538,7,1083085,stimulate,high competance face,263,1,1,0,1
539,201,1083556,response,low competance key,263,2,2,0,1
540,3,1085427,stimulate,low competance face,264,1,1,0,1
541,202,1085732,response,high competance key,264,2,2,0,1
542,3,1087710,stimulate,low competance face,265,1,1,0,1
